title;artist;year;views;url;lyric
The Worst;Jhen Aiko;2013;;https://genius.com/Jhen-Aiko-The-Worst-lyrics;
The Show Goes On;Lupe Fiasco;2010;348728.0;https://genius.com/Lupe-Fiasco-The-Show-Goes-On-lyrics;"LA-SER
Kane is in the building, nigga
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Have you ever had the feelin' that you was bein' had?
They treat you like a slave
Put chains all on your soul and put whips up on your back
hope you slip up off your path
See that's how that Chi-Town made me
That's how my daddy raised me
That glitterin' may not be gold
don't let nobody play me
If you are my homeboy, you never have to pay me
So even if they ban us, they'll never slow my plans up
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Two in the air for the father that's there
None for the niggas tryna hold them back
Five in the air for the teachers not scared
To tell those kids that's livin' in the ghetto
That the niggas holdin' back that the world is theirs
Yeah, yeah, the world is yours, I was once that little boy
Terrified of the world, now I'm on a world tour
I would give up everything, even start a world war
For these ghetto girls and boys I'm rappin' round the world for
Africa to New York, Haiti then I detour
Oakland out to Auckland, Gaza Strip to Detroit
Say hip-hop only destroy, tell 'em look at me, boy
I hope your son don't have a gun and never be a d-boy
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Brown grass or green grass, picket fence or barbed wire
Never ever put them down, you just lift your arms higher
Raise 'em 'til your arms tired, let 'em know you here
That you strugglin', survivin', that you gon' persevere
Even if they turn the lights out, the show is goin' on, alright
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on"
For However Long;Bryson Tiller;2015;305418.0;https://genius.com/Bryson-Tiller-For-However-Long-lyrics;"Baby, say it's true
I don't wanna have to wait on you
These are things I gotta say to you
Make me feel irreplaceable, baby, 'cause I can't call it
You fuck with other niggas, I won't even bother
Young poppa, tell 'em who taught you
Let me put my stamp on it, let me crop all them other niggas out the picture
I say fuck them other niggas
Won't you say it with me?
My homeboy left the crib to me, baby, you should stay with me
For as long as I'm here, baby, that's okay with me
For as long you want, baby, that's okay with me
For as long you want, baby, that's okay with me
How does it sound? Sound?
Fuck it girl, come spend the night with me
Say whatever, just don't lie to me
Say it one more time for you
These are things I gotta say to you
Make me feel irreplaceable, yeah, yeah"
For the Last Time;$UICIDEBOY$;2017;636166.0;https://genius.com/UICIDEBOY-For-the-Last-Time-lyrics;"Stay in the cut on the Northside
Hollow-points, trigger fingers on my fucking .45
Grew up with the fucking robbers, always kept the mask on
Motherfuckers gon' die if we keep the mask off
kill when I'm 
Sleepy Hollow
Xanax for the panic, mental problems you can add in
Dollars I ain't touched yet, burn it for the fuck of it
Cut Throat with the death wish, raised where the savage lives
Straight out the death pit, to keep alive the triple six
7th Ward be my motherfucking district (Wow)
Yeah, I still got my motherfuckin' wrist slit
Bleedin' like a pissed bitch, schemin', I'ma hit licks (Ayy)
TSA keep testin' my moneys
Now I'ma dip quick (Later), find me a thick bitch (Wait)"
Easily;Bruno Major;2016;378183.0;https://genius.com/Bruno-Major-Easily-lyrics;"Don't you tell me that it wasn't meant to be
Call it quits, call it destiny
Just because it won't come easily
Doesn't mean we shouldn't try
We had a good thing going lately
Might not have always been a fairy tale
But you know and I know that they ain't real
I'll take the truth over the story
You might have tried my patience lately
But I'm not about to let us fail
I'll be the wind picking up your sail
But won't you do something for me?
Don't you tell me that it wasn't meant to be
Call it quits, call it destiny
Just because it won't come easily
Doesn't mean we shouldn't try
Coming and going
Inside out and back to front
All tangled and messy
That's how we've been and we'll always be
And that's alright with me
Don't you tell me that it wasn't meant to be
Call it quits, call it destiny
Just because it won't come easily
Doesn't mean we shouldn't try, try, try
Just because it won't come easily
Doesn't mean we shouldn't try"
Bands;Comethazine;2018;378332.0;https://genius.com/Comethazine-Bands-lyrics;"Bands-bands-bands
Come and get your mans-mans-mans
'Fore I up my rocket"
Babys on Fire;Die Antwoord;2012;251224.0;https://genius.com/Die-Antwoord-Babys-on-Fire-lyrics;"Boom!
Boom-boom!
Showtime! Motherfucker, it's on
Apocalypse now, I'm dropping this bomb
You can't fuck with this song
I'll stick to this splif, I'm not klapping this bong
I'm a wild child, I don't wanna go to bed
Uh, shit, sorry man, I'm stoned again
Wooh! Now everything's getting so psychedelic
When I'm doos dronk and I forget all my fokken lyrics
Like, uhm, uh, who gives a fuck?
Don't worry 'bout it, just blow a kiss to me
I'm a lucky ducky, get mad shit for free
I rock more bling than Mr. T
My daddy says it's lekker fokken spif to see
A South African cherrie making history
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
H-H-H-H-Hi-Tek, drop that four to the floor
I get real paid, what you think I do this for?
My bodyguard help me get to the bar
Neill Blomkamp's making me a movie star
If you're lucky, boy, I'll let you sneak a peek
My zef style's motherfuckin' freaky-deak
I don't got beef 'cause I don't eat no meat
I love it when Kimmy talks sweet to me
C'mon, c'mon, Kimmy, Kimmy, speak to me
I take a trip down memory lane
Like, ""Yo, fuck fifteen seconds of fame""
I'm a young blood coming up fresh in the game
Yo-Landi Visser, motherfucker, yo remember the name
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Aaah, freak out!
No need to get so deep
Nothing quite like a motherfuckin' techno beat
Just say ""what's up?"", don't try to get so deep
You know me, maar ek ken jou nie
Ek ken jou nie, ek ken jou nie
Ek ken jou— ek ken jou— ek ken jou nie
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Flame on, motherfuckers"
Doses  Mimosas;Cherub;2012;;https://genius.com/Cherub-Doses-Mimosas-lyrics;
Plastic Bag;Drake & Future;2015;;https://genius.com/Drake-Future-Plastic-Bag-lyrics;
Main Chick;Kid Ink;2014;228466.0;https://genius.com/Kid-Ink-Main-Chick-lyrics;"I told her, ""Fuck that nigga""
Uh (Uh)
You lookin' real familiar, I could just be a lil' drunk
I don't know your name, it's a goddamn shame (Woah)
I don't know how to explain it for ya
Pocket full of trees, don't beat around the bush (Wait)
Walk on green, I could even hit a putt (Ooh)
K.O. shawty when I hit her with a punchline (Ah)
Duckin' from my ex like the one time (Woop-woop)
Uh, I might'a poured you a drink (What?)
But don't let it go to your head
We just seizin' the moment
Up all night, throw a deuce to the mornin' (Walt)
What you think about me takin' you down? Yeah (
Woo
)"
Mural;Lupe Fiasco;2015;691117.0;https://genius.com/Lupe-Fiasco-Mural-lyrics;"We're all chemicals, vitamins, and minerals
And vicodin with inner tubes
wrapped around the arm
To see the vein like a chicken on the barn
Top Cat chat, let's begin another yarn
That's flying saucer cheese, or is it chicken parm'?
But roosters don't fly like boosters don't buy
So what powers cowards to get them to the top
Just to fall asleep listening to Bach?
The ribbon in the sky is the riddim that I drop
Dribbling the eye across the prism of a clock
That lacks meaning, but racks up stacks of fat reading
They catch Chief and wrapped up plants from trap dealings
Now what's a coffin with a scratched ceiling?
And what's the talking without the match feeling
That's buried living
And cherry-picking every lemon from your berry system
Then proceed with the pack feeding
When I was young I had visions of another world
Sneaking looks at the porn stash of my brother Hurl
Incense smoke made vortices and other curls
Casting calls from porn films and ad space for rubber girls
I like my pancakes cut in swirls
Moroccan moles and undercover squirrels
I like cartoons, southern cities with large moons
Faith healers, ex-female drug dealers and art booms
Apologize for my weird mix
What taste like hot dogs and tear drips?
And looks like pantomime and clear bricks?
And smells like shotguns and deer piss?
They on their hunt, kind of salty that I'm going hard
First part of a party, that I throw in parts
One minute you're playing pool, next minute you're throwing darts
But that's how you do with a party that you throw in bars
I run the Gambit like I'm throwing cards
From Popular Mechanics to overdosing heart/hard
Paint cold pictures like Nova Scotia landscapes
Nerd gang, make Mandelbrot sets when we handshake
A word game back up plan that can dam lakes
Backup the wordplay ain't playing that the man's states
Means I can still be the man if the dam breaks
And when demand brakes I'm reflectious, what they can't face
My peers will still treat the mirror like it's a fan base
The unfettered veteran, the eagle feathered man of medicine
That hovers above cities like weathermen
Or maybe weather woman
Whatever better to tell ya weather comin'
I prefer girls to reign all over the world
And not “rain” like “Rain Man” or rain like “rain dance”
Or rain like a “slight chance of rain” when it's rainin’
Or “rein” like deer slaves to Santa Claus; sleigh man
But “reign” like queens that reign over made man
And not “Queen” like “Queen Killer; Rhapsody Bohem’” Queen
But “queen” like white-glove-wave-hand
And not “wave hand,” like it's a heat
Wave, so you make a fan by waving your hand
I'm talking “wave,” like you saying, ""Hey, man!""
And not hay for horses
or ""hoarsest"" like you almost voiceless
You gotta treat your vocal chords like it's a fortress
And treat every single one of your words like reinforcements
And especially when you're recording
Cause that's the portion that's important
When I was reporting that I was poor,
but now I'm more than
It's still hooker heels on my sugar hills and sweet spots
Crying shames, make margarita rims from cheap tops
Deep plots, in floor to ceiling windows for my pee pots
A little scene, with the sickle swings, to make the wheat drop
And a hundred words, for them hummingbirds, that like to eavesdrop
And fan out like peacocks, with a parakeet that beat box
So the sun rise when the beat drop, and the sun dies when the beat stops...
Then it unties, then it relocks, then it relapse, then it detox
Then heat back like a heat pack on his knee caps of the weak spot
'Cause he want what we got, like yeah
Then forge poetry, like a young ornery Morrissey
Then spit it to the golden locks thots, who like their porridge all watery
Not scorching nor sorbet-y
From the steel orbitings, sorcerer of sorcery
Coming down gorgeously, just like a Stacey Dash waterfall
Or more torturing, a water-boarding Barbie doll
A river of women like Brazilian Carnival
Swimming in feminine bikinis made out of Barbasol
Somebody give them the volleyballs
If you love her, don't ever send her to Mally Mall's
Homie, if she lonely she might end up in Macauly's claws
Coming out the closet over goblets, down at Mardi Gras
The fame, champagne, walk of shame lobby call
My rap position was black condition and activism
Ammunition for abolition, missions attacking systems
But they not apt to listen, unless it's dropping on Activision
Are we apps, or are we bodies filled with apparitions?
Operating applications, stuck inside of Apple prison
Chicken hackin’ download updates that lack religion
Or are we more...
...Than soil tainting, disloyal changelings
Preoccupied with boy and Goyle chasing, and foiling other's royal saintings?
I sit back and watch the world through eye holes in my oil paintings
Uhhh!
Ain't nothin' to it, but to do it
Unless you Virgin Mary, nothin' do it but the truest
Believe all that, unless you Jewish
Life is not a dictionary, it's a thesaurus
And I feel like a missionary, to a clitoris
The water bearer, heir of traditions, that I swear to never change
My chair position or conditions of my porridge
Submission for sedition against the religion of a chorus
Keep them golden weave thieves out the mothafuckin' forest
As I perform a nerd storm, I prefer my pictures in word form
Bury the hatchet like how a bird born
As I paint cold pictures, like Kool-Aid facing condensation
Having conversations with flavorful combinations
Slave to my concentration
So that's OJ da Juiceman, meets
OJ with two hands
And two gloves, that's too snug, to judge who was, who drew blood
And, Lupe look at all these toucans, in a cemetery full of tomahawks
Giving middle fingers to the pigeons doing somersaults
Road runners don't fall off cliffs, they run across
Anomalies by the colony, flukes by the reservoir
Wildin' pursuers end up as poofs, on the desert floor
Levitating youths, who know the truth of where the fountain hides
Buckaroo roof painting tunnels onto the mountain sides
A thousand parts, a pound of heart, an ounce of eyes
Announcing now, the doubt in mouth, pronounces out a count of lies
Chocula Counts by the count of five
Refrigerator roof, full of animals and monsters
Incinerator chutes and the manual for Contra
Assorted memories from my childhood
Absorbing energy from the wild woods
Electronic combat Konami sign contract
Chinese chalk killing cucarachas on contact
Chicago, spray gun aficionado
Efficient spitting bridging divisions isn't Chicano
Who’s the Boss? If it isn't Alyssa Milano
Dudikoff
ninja mission into the Congo
Polarize envy of the older guys
Black obi, shinobi hittin' Kenno in the face with all my throwin' knives
Sub-zero, Gaiden, hiding, Raiden in the pack as well
Sound village, Leaf village, wolf spirit, magic spells
Dodging Rain and catching hail
Faith seers need samurais to catch the L
Special research vessels made for catching whales
Filet-o-fish ships sea-shepherded peppered with extra sails
Rewrite history, liberty needs a better bell
Maybe harder irons and carbon fibers that never fail
Smarter science mixed with a odd alliance of fairy tale
Or maybe just a metal pail you hit with steel tools
To announce that you've had enough and dropping out of SEAL school
Just like trout jumping out their house to let their gills cool
Cuba-scuba couldn't take the temperature of my skill pool
Yeah, I said it feels cool to kill fools
Slipping through the cracks like when you try to grill gruel
Techno Viking water bottle and not following pill rules
Will have you off the throttle when you should be modelin' chill mood
Roller skater maker or are you just cobblin' wheel shoes
Overweight taster of kings food that kills crews
Oblivious feather-weight baker who autographed cakes whenever his quill moves over your milieu
Simple as a Buddhist monk in a temple standing in some heel groove with the abbot, practising stillness
Real Steel til' he realize his realness
Defeat Samsara, achieves nirvana and brilliance
Yeah!"
Sober II Melodrama;Lorde;2017;474585.0;https://genius.com/Lorde-Sober-II-Melodrama-lyrics;"You asked if I was feeling it, I'm psycho high
Know you won't remember in the morning when I speak my mind
Lights are on and they've gone home, but who am I?
Oh, how fast the evening passes
Cleaning up the champagne glasses
We told you this was melodrama
(Oh, how fast the evening passes
Cleaning up the champagne glasses)
(Oh, how fast the evening passes
Cleaning up the champagne glasses)
When we wonder why we bother, whoa, whoa
All the glamour and the trauma
And the fuckin' melodrama, whoa, whoa
All the gun fights and the lime lights
And the holy sick divine nights, whoa
(Holy sick divine nights, whoa)
They'll talk about us, all the lovers
How we kiss and kill each other, whoa
They'll talk about us, and discover
How we kissed and killed each other, whoa
(And we'll tell them)
We told you this was melodrama
You wanted something that we offer"
So Appalled;Kanye West;2010;1788805.0;https://genius.com/Kanye-West-So-Appalled-lyrics;"One hand in the air if you don't really care
Two hands in the air if you don't really care
It's like that sometimes, I mean ridiculous
It's like that sometimes, this shit ridiculous
One hand in the air if you don't really care
Middle finger in the air if you don't really care
It's like that sometimes, man, ridiculous
Life can be sometimes ridiculous
I'm so appalled, Spalding, ball
Balding Donald Trump taking dollars from y'all
Baby, you're fired, your girlfriend hired
But if you don't mind, I'ma keep you on call
We above the law, we don't give a fuck 'bout y'all
I got dogs that'll chew a fuckin' hole through the wall
But since they all lovers, I need more rubbers
And if I don't use rubbers, need more covers
Housekeeping, I mean, goddamn
One time, let it be a bad bitch sweeping
That know we get O's like Cheerios
That know because they seen us in the videos
That know the day that you play me
Would be the same day MTV play videos
That was a little joke, voila
Praises due to the most high, Allah
Praises due to the most fly, Prada
Baby, I'm magic, tada
Address me as your highness, high as United
Thirty thousand feet up and you are not invited
Niggas be writing bullshit like they gotta work
Niggas is going through real shit, man, they out of work
That's why another goddamn dance track gotta hurt
That's why I'd rather spit something that got a purp'
Champagne wishes, thirty white bitches
I mean this shit is fuckin' ridiculous
Fuckin' ridiculous
I mean this shit is fuckin' ridiculous
Five-star dishes, different exotic fishes
Man, this shit is fuckin' ridiculous
Fuckin' ridiculous
How should I begin this? I'm just so offended
How am I even mentioned by all these fuckin' beginners?
I'm so appalled, I might buy the mall
Just to show niggas how much more I have in store
I'm fresher than you all, so I don't have to pause
All of y'all can suck my balls through my drawers
Dark Knight feeling, die and be a hero
Or live long enough to see yourself become a villain
I went from the favorite to the most hated
But would you rather be underpaid or overrated?
Moral victories is for minor league coaches
And Ye already told you we major, you cockroaches
Show me where the boats is, Ferrari Testarossas
And Hammer went broke so you know I'm more focused
I lost thirty mil', so I spent another thirty
'Cause unlike Hammer, thirty million can't hurt me
Fuckin' insane, the fuck am I saying?
Not only am I fly, I'm fuckin' not playing
All these little bitches too big for they britches
Burning they little bridges, fuckin' ridiculous
Champagne wishes, thirty white bitches
I mean this shit is fuckin' ridiculous
Fuckin' ridiculous
I mean this shit is fuckin' ridiculous
Five-star dishes, different exotic fishes
Man, this shit is fuckin' ridiculous
Fuckin' ridiculous
Success is what you make it, take it how it come
A half a mil' in twenties like a billion where I'm from
An arrogant drug dealer, the legend I become
CNN said I'd be dead by twenty-one
Blackjack, I just pulled an ace
As you looking at the king in his face
Everything I dream, motherfuckers, I'm watchin' it take shape
While to you I'm just a young rich nigga that lacks faith
Range Rove', leather roof, love war, fuck a truce
Still move a bird like I'm in bed with Mother Goose
Them hoes coming in a baker's dozen
Claiming they was with me when they know they really wasn't
I keep the city's best, never said she was the brightest
So if you had her too, it don't affect me in the slightest
I never met a bitch that didn't need a little guidance
So I dismiss her past until she disappoints your highness
I speak the gospel, hostile
Tony doing time for what he did to nostrils
Paranoid mind, I'm still under the watchful
Eye of the law, aspire for more
Them kilos came, we gave you Bobby Brown jaw
Flaws ain't flaws when it's you that makes the call
Flow similar to the legends of the falls
Spillin', I own you all, yuugh
One hand in the air if you don't really care
Two hands in the air if you don't really care
It's like that sometimes, I mean ridiculous
It's like that sometimes, this shit ridiculous
One hand in the air if you don't really care
Middle finger in the air if you don't really care
It's like that sometimes, man, ridiculous
Life can be sometimes ridiculous
Hah, I am so outrageous
I wear my pride on my sleeve like a bracelet
If God had an iPod, I'd be on his playlist
My phrases amazes the faces in places
The favorite,
hah, my cup overrunneth with hundreds
Dummy, damn, it's hard not for me to waste it
The new Commandment, ""Thou shalt not hate, kid""
My movement is like the Civil Rights, I'm Ralph David
Abernathy, so call my lady Rosa Parks
I met this girl on Valentine's Day, fucked her in May
She found out about April, so she chose to march
Hah, damn, another broken heart
I keep bitches by the twos, nigga, Noah's Ark
I got a seven on me, I call my 'dro Lamar
Plus a Trojan in my pocket, Matt Leinart, hah
G-A-T in the Pathfinder
'Cause you haters got PhDs
Y'all just some major haters and some math minors
Tiger Woods, don't make me grab iron
Ayy, yo, champagne wishes and thirty white bitches
You know this shit is fuckin' ridiculous
Fuckin' ridiculous
You know this shit is fuckin' ridiculous
Cars for the missus and furs for the mistress
You know that shit is fuckin' ridiculous
Fuckin' ridiculous
You know this shit is fuckin' ridiculous
Fuckin' ridiculous
Fuckin' ridiculous
Fuckin' ridiculous
One hand in the air if you don't really care
Two hands in the air if you don't really care
It's like that sometimes, I mean ridiculous
It's like that sometimes, this shit ridiculous
One hand in the air if you don't really care
Middle finger in the air if you don't really care
It's like that sometimes, man, ridiculous
Life can be sometimes ridiculous, huh?"
Never Be Like You;Flume;2016;971891.0;https://genius.com/Flume-Never-Be-Like-You-lyrics;"How do I make you wanna stay?
Hate sleeping on my own, missing the way you taste
Stop looking at me with those eyes
Like I could disappear and you wouldn't care why
I'm falling on my knees, forgive me, I'm a fucking fool
I'm begging, darling, please, absolve me of my sins, won't you?
I'm falling on my knees, forgive me, I'm a fucking fool
I'm begging, darling, please, absolve me of my sins, won't you?"
BLACK EFFECT;THE CARTERS;2018;422873.0;https://genius.com/THE-CARTERS-BLACK-EFFECT-lyrics;"I'm good on any MLK Boulevard
I'm good on any MLK Boulevard
Haters dreadin' my effect, they want that Das EFX
Get your hands up high like a false arrest
Let me see 'em up high, this is not a test
Yes, put 'em up, this is not a test
Now hands where I can see them, fuck a false arrest
This Off-White fit that I rock, shit permanent
Hmm, the fro that I grow got no perm in it
Got slowed down by the weight of my necklaces
Parked the Lexus in the projects
Extra magazine hopped on a jet with my Ebony chick
Blacker than the Essence fest
The behind the back pass is so effortless
LeBron James to you Omaroses
Dapper Dan at 4AM, shit, I am the culture
I made my own waves so now they’re anti-Tidal
Since the Kalief doc, they've been at my neck
Y'all can tell 'em Trayvon is comin' next
The SEC, the FBI or the IRS
I pass the alphabet boys like an eye test
I'm good on any MLK Boulevard 
(I'm good)
I'm good on any MLK Boulevard 
(He good)
Haters dreadin' my effect, they want that Das EFX 
(Yeah)
Get your hands up high like a false arrest (put your hands up high)
Let me see 'em up high, this is not a test (let me see 'em up high)
Yes, put 'em up, this is not a test
Put your hands where I can see them, fuck a false arrest
Higher, higher
Higher, higher
Higher, Higher
Higher, higher
Higher
I'm good anywhere I go, anywhere I go (go)
I pull up like the Freedom Riders, hop out on Rodeo
Stunt with your curls, your lips, Sarah Baartman hips
Gotta hop into my jeans like I hop into my whip yeah
Mobbin' in a hoodie like Melo
Come up out that pretty motherfucker like ""Hello, Hello""
I will never let you shoot the nose off my Pharaoh
I like purple and purple rain
Tryin' to put red and blue together, bitch, that's on gang
Man, we started with a mustard seed
Now we in the gray 911 with the mustard seats
Sheesh! Matte black puma jet
Shining my light on the world just like ""UMI Says""
Got the Richard Mille all colors
They even biting cornrows, put your scarecrows up
I come from the finest crop
The Chitlin' circuit is stopped
Now we in stadiums, Eighty Thou a wop, watch
I'm good on any MLK Boulevard 
(He good)
I'm good on any MLK Boulevard 
(We good)
Get your hands up high like a false arrest
(Get your hands up high like a false arrest)
Let me see 'em up high, this is not a test
(Let me see 'em up high, this is not a test)
Yes, put 'em up, this is not a test
(Yes, put em up, this is not a test)
Now hands where I can see them, fuck a false arrest"
Lemonade;Internet Money;2020;1739687.0;https://genius.com/Internet-Money-Lemonade-lyrics;"Xanny bars, suicide door, brand new bag
College girls give a nigga head in my Rafs
Lips sealed, I ain't pillow talkin', I'm no rat (No)
In my earlobe, got two karats, VVS (Bling)
Got a penthouse near Rodeo off of stress (Stress)
Kickin' my feet up, left the PJs on a PJ (A PJ)
I got water on me, yeah, everything on Fiji
Xanny bars, suicide door, brand new bag
College girls give a nigga head in my Rafs
I'm a rockstar, play guitars 
(Yeah)
, sippin' Wock', hey (Hey)
Adderall, fentanyl, Xanax bars, ayy (Hey)
Did a Percocet, Promethazine, I feel nausey (Promethazine)
I remember from fifty, I couldn't go back empty
I knew I was stuck to the game (Stuck)
I'm never gon' go against the grain
I'm never gon' be the one to turn on my brother
When police has got us detained (Nah)
And that's on my government name (Nah)
Xanny bars, suicide door, brand new bag
College girls give a nigga head in my Rafs
Ice
lemonade"
The Box;Roddy Ricch;2019;3593018.0;https://genius.com/Roddy-Ricch-The-Box-lyrics;"Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
Cruise the city in a bulletproof Cadillac (Skrrt)
'Cause I know these niggas after where the bag at
Nigga try to get me for my water
I'll lay his ass down, on my son, on my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'
I done put my whole arm in the rim, Vince Carter (Yeah)
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me
Told 'em fuck 12, fuck SWAT
I just hit a lick with the box
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
If Steelo with me, then he got the blues in the pouch (Yeah)
Took her to the forest, put the wood in her mouth
Bitch, don't wear no shoes in my house
The private I'm flyin' in, I never wan' fly again
I'll take my chances in traffic (Yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing strip
I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangster, so that's why she picked a Crip
Shawty call me Crisco 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street wealthy, yeah
Told 'em fuck 12, fuck SWAT
I just hit a lick with the box
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that"
Solar Eclipse;YoungBoy Never Broke Again;2017;643465.0;https://genius.com/YoungBoy-Never-Broke-Again-Solar-Eclipse-lyrics;"If it go down now, I know Baby Joe gon' shoot
Back in 8th grade, I ain't have a thing, baby
Before the fame, I was strapped up on Valley Park with a Glock
(Skrt)
Back in 8th grade, I ain't have a thing, baby
Got snake on my collar, I tell you it's Gucci
Back in 8th grade, I ain't have a thing, baby
Slatt, slatt
Slatt, slatt, slatt, slatt"
Tropical;SL;2017;266753.0;https://genius.com/SL-Tropical-lyrics;"B, I got the maddest of flavours
Don't think that this shit comes cheap
So, bitch don't moan
When I charge fifteen for a D
Dip, splash and I'm getting him peak
No time for these stupid neeks
Come, bitch come my way
Tooled up on the lurk for my prey
The waigons don't want me to eat
I wish I could just make my P
The Jake boys really on my back
Got me in and out court, got me feeling a twat
The feds got like ten of the gang
free R1, free Max, free Taz
R.I.P Jetz, R.I.P T-Bandz
Smiles when the pack came in, now we gotta break this down
In and out with a gorgeous thing, that was an amazing round
Stay stocked up, real shit, the plug don't see no drought
nigga
I'm grabbing them packs, and I push it around
Said he got bits of the loud
what bits of the loud? Bro, ring right now
shit, you don't really wanna buck this cutter
gorgeous
Smiles when the pack came in, now we gotta break this down
In and out with a gorgeous thing, that was an amazing round"
Juicy;Doja Cat & Tyga;2019;;https://genius.com/Doja-Cat-Tyga-Juicy-lyrics;
444222;Lil Uzi Vert;2017;;https://genius.com/Lil-Uzi-Vert-444222-lyrics;
Strawberry Fields Forever;The Beatles;1967;624049.0;https://genius.com/The-Beatles-Strawberry-Fields-Forever-lyrics;"Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
Living is easy with eyes closed
Misunderstanding all you see
It's getting hard to be someone, but it all works out
It doesn't matter much to me
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
No one, I think, is in my tree
I mean, it must be high or low
That is, you can't, you know, tune in, but it's all right
That is, I think it's not too bad
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
Always, no, sometimes, think it's me
But you know, I know when it's a dream
I think I know, I mean—er—yes, but it's all wrong
That is, I think I disagree
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
Strawberry Fields forever
Strawberry Fields forever
Cranberry sauce, cranberry sauce"
